"","n_trials","alpha1_est","alpha2_est","alpha1_prior","alpha2_prior"
"489",100,0.544653,0.581012,0.749438,0.58561
"490",100,0.742468,0.53042,0.809727,0.631472
"491",100,0.783427,0.511817,0.751981,0.610109
"492",100,0.710977,0.409478,0.710318,0.640582
"493",100,0.618509,0.77891,0.689956,0.647766
"494",100,0.649975,0.430616,0.684815,0.686842
"495",100,0.585937,0.388086,0.595534,0.501443
"496",100,0.788481,0.601829,0.640811,0.743791
"497",100,0.725303,0.73349,0.696943,0.593688
"498",100,0.77174,0.759661,0.662493,0.738276
"499",100,0.592772,0.80878,0.574654,0.611836
"500",100,0.638068,0.632202,0.521861,0.686739
"501",100,0.62381,0.65719,0.544927,0.404655
"502",100,0.618863,0.655216,0.418216,0.604002
"503",100,0.560711,0.693548,0.556269,0.682706
"504",100,0.649639,0.615136,0.635241,0.561363
"505",100,0.736389,0.447691,0.513668,0.700932
"506",100,0.787404,0.599689,0.520201,0.695031
"507",100,0.719212,0.471331,0.772168,0.366572
"508",100,0.607397,0.605594,0.676056,0.664207
"509",100,0.537647,0.692755,0.775757,0.516319
"510",100,0.511713,0.69145,0.777576,0.742011
"511",100,0.485903,0.671127,0.698698,0.680188
"512",100,0.54422,0.729854,0.454447,0.642349
"513",100,0.540356,0.775286,0.730442,0.523961
"514",100,0.812029,0.551582,0.787766,0.561135
"515",100,0.76665,0.718715,0.539726,0.746104
"516",100,0.710966,0.701037,0.550586,0.723638
"517",100,0.578939,0.779755,0.524713,0.720319
"518",100,0.531801,0.75706,0.467988,0.513712
"519",100,0.636254,0.381523,0.509195,0.582647
"520",100,0.745942,0.679011,0.646775,0.698575
"521",100,0.609941,0.573451,0.548759,0.429483
"522",100,0.45796,0.625806,0.444206,0.69363
"523",100,0.478325,0.627719,0.41599,0.546521
"524",100,0.58576,0.597193,0.414488,0.90382
"525",100,0.622056,0.567153,0.670386,0.596205
"526",100,0.633825,0.637619,0.353214,0.558443
"527",100,0.593471,0.6354,0.580619,0.772366
"528",100,0.588854,0.613997,0.703536,0.608435
"529",100,0.735113,0.523033,0.673167,0.398729
"530",100,0.778188,0.674337,0.528337,0.508218
"531",100,0.710203,0.690924,0.610805,0.603949
"532",100,0.70187,0.683356,0.493724,0.731773
"533",100,0.629679,0.642041,0.671227,0.706299
"534",100,0.766815,0.567051,0.752376,0.663605
"535",100,0.803909,0.54902,0.490397,0.597944
"536",100,0.568416,0.533795,0.77802,0.582935
"537",100,0.579021,0.549319,0.700072,0.470818
"538",100,0.599502,0.519717,0.603124,0.859352
"539",100,0.722395,0.445881,0.568467,0.63119
"540",100,0.66104,0.427987,0.755232,0.748917
"541",100,0.655434,0.522831,0.766735,0.572882
"542",100,0.463231,0.633857,0.832585,0.563511
"543",100,0.393197,0.824524,0.344312,0.483283
"544",100,0.474245,0.811207,0.600962,0.379359
"545",100,0.388253,0.590881,0.472348,0.576005
"546",100,0.519818,0.589982,0.731192,0.360948
"547",100,0.558485,0.546085,0.72259,0.61968
"548",100,0.598755,0.561733,0.798184,0.696694
"549",100,0.457874,0.461203,0.51608,0.465729
